family,method,p1_true,p2_true,tau_true,J,rep,obs,secs,acc,ess_p2,ess_tau,p1,p1_cilen,p1_cov,p2,p2_cilen,p2_cov,tau,tau_cilen,tau_cov
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,6,0.2399871276672819,1.7609670162200928,0.14571523841280426,13.7713460922184,11.996220831944708,0.00649228027062055,0.03655519584829145,1,0.006875428540219841,0.026580752665894217,1,5.5918122629211755,9.147944828521222,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,8,0.24085805816900646,1.7290081977844238,0.14871623874624876,11.95545218580584,10.989731130365614,0.0029420848450962852,0.02865564124067605,1,0.007146878157618078,0.02564495885111269,1,4.816955245841189,9.523422496929568,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,9,0.2354497050246949,1.7273359298706055,0.14671557185728576,5.451421688821723,19.110176367076093,0.007003913902279226,0.03964762558022034,1,0.004859475750035586,0.021966475792905015,1,6.346462006971355,8.206287124184714,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,11,0.24009056852942695,1.7320761680603027,0.16172057352450817,4.476595612696422,8.211018569828772,0.0119105452024486,0.0434498240519285,0,0.0018548787052601171,0.0053290136477887,0,4.821836351647398,9.449714352224591,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,10,0.24573396344676332,1.7310888767242432,0.1480493497832611,10.296828549827568,17.851702793020056,0.004163767456277573,0.021893317936990345,0,0.005812049529209766,0.015608790962687974,1,5.696660174064908,8.966749976460378,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,12,0.2405646427568098,1.7488279342651367,0.14771590530176726,9.018677970483052,13.184692426279975,0.008320627234560337,0.044617678050306454,0,0.004064501438932135,0.013140432805735344,1,5.149272589964128,8.970390801507333,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,15,0.2424580063163676,1.7293219566345215,0.12670890296765588,13.602291556755274,12.46217820141061,0.0031219655315385796,0.020232801545841176,1,0.006254759202838758,0.017728319417846788,1,5.170145740466796,8.964469044935258,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,0,0.296269942453788,1.7455859184265137,0.13904634878292765,11.886828904149043,13.193638219114433,0.009153135277187894,0.041307743001720715,1,0.008823146841149753,0.030275602000146656,1,4.86322201968067,9.438099075185484,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,14,0.24593196647204316,1.718980073928833,0.1597199066355452,7.616037433607985,14.006153333527005,0.00804912050131141,0.04301262851204194,1,0.0030378641601462204,0.007094490264009977,0,4.9752900093028165,8.705518103135107,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,2,0.2872218127517743,1.7032430171966553,0.12237412470823608,7.379482017981305,20.828846691899543,0.008329246382978064,0.03709294192278405,1,0.005977641164909663,0.016040716315804115,1,4.318353563531241,8.325767057382658,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,3,0.29541050060234486,1.7175989151000977,0.13304434811603869,11.88832534637066,6.779637883479649,0.005107098593316046,0.03296614474052653,1,0.009659289775485178,0.031116569704004785,1,4.627793246190594,9.149956859533194,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,1,0.29832542467431145,1.745758056640625,0.12070690230076692,9.792583768956534,28.5388482353726,0.014712901897820114,0.037677242634325814,0,0.00010540411711035224,0.0004127543916082546,0,6.906734057931105,6.150751699062635,1
cnn1d,CNN1D-ABC,0.0001,0.01,7.0,100,13,0.24207807202494128,1.7806282043457031,0.14571523841280426,17.21794433065121,10.639630922815634,0.0044861576913645075,0.024495945074125926,1,0.006181931318437055,0.021007334196293612,1,5.276256752656316,9.058110899091083,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,4,0.2984079188188822,1.7108008861541748,0.12770923641213738,5.009543747170248,15.606440326484384,0.0045209867934034,0.017716018827050962,1,0.010030084218718231,0.03311460018902112,1,6.668383311670547,8.314584303420412,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,5,0.29619124601835656,1.7311906814575195,0.14204734911637212,10.09750568223164,7.080544418513964,0.005496290586449401,0.04450203010999826,1,0.009170922958733993,0.04069417408497066,1,4.935415507222474,9.490800473898945,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,6,0.2943253777911629,1.7242040634155273,0.14438146048682896,4.31078721175,16.04568289717512,0.009935262192520885,0.039905599062499984,1,0.005586731555789444,0.02256173812576263,1,5.35513363925374,8.333271306195295,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,7,0.284398506112572,1.7306642532348633,0.12204068022674225,7.707974526715767,9.574990938997294,0.003093499257863129,0.029402937634543297,1,0.013022287346248862,0.03851637546508232,1,6.113992549038029,9.059448758640121,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,8,0.3011676188424759,1.7049460411071777,0.14204734911637212,3.477703258313872,18.932868645492874,0.011726903996448023,0.040537148129811795,1,0.0037437791016792523,0.011937809218684136,1,5.187611029270466,8.791027110868539,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,11,0.30965631409527083,1.7306287288665771,0.1373791263754585,8.010664149077964,32.86845779039474,0.013524835735594697,0.0435983457058406,1,0.004422158800707324,0.025485346278010215,1,6.29927980297895,6.8798856389807845,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,9,0.30278397512446475,1.7607688903808594,0.14338112704234746,11.312701108968902,23.263402060594697,0.016494236094402412,0.03266899553270635,0,0.0007206349919359024,0.0059504877142794,0,6.006895574652211,8.22507099534035,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,10,0.30009693394650944,1.737318992614746,0.14571523841280426,3.206980676217827,13.217100264804198,0.013917891211267325,0.04294510481723778,1,0.0033026127900700466,0.01671181565686269,1,5.837566854649829,8.761450747208876,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,12,0.29865189641994094,1.7486388683319092,0.15171723907969323,16.347043062526907,30.418517145851414,0.006756501458988727,0.034257649699050347,1,0.006426561801062364,0.015159624798824243,1,4.469623629615873,8.372697407565216,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,14,0.29361469914938676,1.7300019264221191,0.13571190396798932,3.294706511693709,20.217680673099505,0.012112267191563345,0.04300932355535326,1,0.0034036059335688425,0.013076955731935975,1,5.413082778465968,8.501715896462079,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,15,0.2806301429541488,1.7327380180358887,0.12704234744914972,6.182235680873026,23.211901852900137,0.006288000754653329,0.03229400164211774,1,0.008583577117481228,0.03620260873782124,1,6.431503570974253,8.793227917750455,1
cnn1d,CNN1D-ABC,0.002,0.008,5.0,100,13,0.2905754171505767,1.7330670356750488,0.13671223741247082,12.0362346420031,7.151189760777311,0.005766064404083918,0.03461071620583006,1,0.009563023049026086,0.03701645607638158,1,5.332262165639726,9.185458351088947,1
