p_true,a,delta,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_cilo,ABC-MCMC_cihi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_cilo,GPS-ABC_cihi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_cilo,DNN-ABC_cihi,DNN-ABC_acc
0.001,1.0,1.0,100,28,0.07218875012968538,0.0007060106168383373,0.0007580779161979437,0.0009818105805290906,0.0007630724111883698,0.0006298003450502808,0.0013928727562386506,0.5225375626043406,0.0009120014902234774,0.002048485798065921,0.0003389460211519731,0.0023874318192178942,0.8080133555926544,0.0008721411087950465,0.0007653808555540112,0.0005372430822758136,0.0013026239378298248,0.6343906510851419
0.001,1.0,1.0,100,9,0.07065584614244046,0.0008791008674904899,0.0009452904723737338,0.0009392163690236604,0.0013853418900758737,0.0005717805502020597,0.0019571224402779334,0.48747913188647746,0.0008501203276112558,0.001514786454872416,0.00028705900987178936,0.0018018454647442052,0.7946577629382304,0.0009026935055324056,0.0008626122995556641,0.0005053308262595599,0.001367943125815224,0.6010016694490818
0.001,1.0,1.0,100,8,0.0747717799854594,0.001415541645779228,0.0015242864973998992,0.0010800417843338402,0.0010447629572605307,0.0006730563404036904,0.0017178192976642212,0.48580968280467446,0.0011279044363374936,0.00313698525610749,0.0003471740698753224,0.0034841593259828125,0.8213689482470785,0.000992514346255253,0.0009717335194057339,0.0005374175375974964,0.0015091510570032303,0.6043405676126878
0.001,1.0,1.0,100,12,0.07364838147995766,0.0008930753397963231,0.0009589098951645346,0.0009585335462904582,0.0008985251375820387,0.0005565834165136352,0.001455108554095674,0.5175292153589316,0.0008286826658645936,0.001718132871319977,0.00030486931310979654,0.0020230021844297734,0.7946577629382304,0.000916983261881135,0.0010516463620158308,0.0004544273637445766,0.0015060737257604074,0.6176961602671118
0.001,1.0,1.0,100,6,0.0613212268402461,0.0005976141027335125,0.0006411533362263976,0.0007085834135660886,0.0007186036102247291,0.0004165362493751501,0.0011351398595998792,0.48247078464106846,0.0006393481465312511,0.0013501097540103036,0.00020135984342756094,0.0015514695974378646,0.7963272120200334,0.0006868566330044113,0.0005555200976117729,0.0004302093134743317,0.0009857294110861047,0.6310517529215359
0.001,1.0,1.0,100,14,0.07135500220088666,0.0009568023108540991,0.0010272046992787867,0.00098598189113074,0.0009060401336605503,0.0005609271330057742,0.0014669672666663244,0.5492487479131887,0.0007547561122072756,0.0014454420799197285,0.0002716225946968938,0.0017170646746166222,0.8196994991652755,0.0009870649669242906,0.0010026897140464476,0.0005666589992437463,0.0015693487132901938,0.5909849749582637
0.001,1.0,1.0,100,4,0.07007649433224333,0.0007935472284704148,0.0008543393531285682,0.0009067715127780548,0.0007844963660436581,0.0005378027765559915,0.0013222991425996496,0.4958263772954925,0.0008578011178794839,0.001827094804239236,0.00021512447718617439,0.0020422192814254104,0.8280467445742905,0.0008579623660815336,0.0007941142515175202,0.0005292816952380663,0.0013233959467555865,0.6210350584307178
0.001,1.0,1.0,100,10,0.07127953707329401,0.0019408933721553612,0.00208635204242592,0.0009514513592026682,0.0008257745612801677,0.000567702472593762,0.0013934770338739297,0.4958263772954925,0.0007661674640311116,0.001657533004100001,0.00025463671589787,0.001912169719997871,0.8096828046744574,0.0008963138631351294,0.0007533778580909617,0.0005533693141233976,0.0013067471722143593,0.6260434056761269
0.001,1.0,1.0,100,3,0.0707062718933924,0.0007753938075273914,0.0008330325468401152,0.0009113348352732812,0.0009325353639104869,0.0005469600772717323,0.0014794954411822192,0.48914858096828046,0.0008469672250193597,0.0017450251534740547,0.0002790507149762385,0.002024075868450293,0.8263772954924875,0.000894290751413027,0.0007351657269017707,0.0005499969548422612,0.001285162681744032,0.5909849749582637
0.001,1.0,1.0,100,1,0.07082211124644933,0.0008262008104909513,0.0008869093407331502,0.0009022198524159016,0.0007102133631637843,0.0005188447124209147,0.001229058075584699,0.48247078464106846,0.0010246867128122896,0.0023487088187973907,0.00024357873632264215,0.002592287555120033,0.8130217028380634,0.0009589050683500249,0.0008169764522617683,0.000575530776603516,0.0013925072288652842,0.5876460767946577
