p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_acc
0.0001,10,27,0.011698118955202832,1.3788845872608757e-05,1.4614522206490426e-05,3.5349123837660324e-05,8.182874172796273e-05,0.671118530884808,2.7087458433147905e-05,3.2866888185086656e-05,0.6427378964941569,2.507272434743629e-05,3.119649705983025e-05,0.7445742904841403
0.0001,10,33,0.026487010030037034,0.0001300639555077976,0.0001376840848686571,7.949542717920483e-05,0.00028488313176826843,0.5943238731218697,0.0001455639416925862,0.00023749619930889758,0.6844741235392321,0.00013438778604493633,0.00014940546842933435,0.6811352253756261
0.0001,10,35,0.032505445416557845,0.0001367546666297681,0.00014474331236352783,0.00013957379471962012,0.0005202281077098965,0.5525876460767947,0.00020192035399242488,0.00026968038746225814,0.6894824707846411,0.00016957676489015054,0.00019677286086580047,0.6828046744574291
0.0001,10,29,0.023972964472036572,7.183140983979541e-05,7.603883877424768e-05,5.956218772874933e-05,0.00028158309568797454,0.5225375626043406,0.0001106245866705843,0.000140910666232818,0.6510851419031719,0.00010800299135166669,0.00011878441241337494,0.676126878130217
0.0001,10,30,0.01624373973139097,3.155205240068515e-05,3.338789569597501e-05,3.980903662341282e-05,0.0001717860770247506,0.6277128547579299,5.191014594857173e-05,7.349150212127706e-05,0.666110183639399,5.4357445558944234e-05,6.952053277931139e-05,0.7195325542570952
0.0001,10,36,0.01963765123487999,0.00033763985738655133,0.0003592671365713442,6.732589530147098e-05,0.00013410849475010265,0.662771285475793,7.60825996101332e-05,9.39119979160639e-05,0.676126878130217,7.539601502947595e-05,9.983829527387782e-05,0.7061769616026711
0.0001,10,34,0.02265646061751113,7.340432594687973e-05,7.73354958711239e-05,6.094936752823208e-05,0.00018358738181259565,0.5843071786310517,9.953001527083941e-05,0.00011361490555062448,0.6494156928213689,9.575392982856193e-05,9.459690597392431e-05,0.7262103505843072
0.0001,10,37,0.022149325443411718,3.9155385442690704e-05,4.131456525974148e-05,5.030079238933822e-05,0.00017143626884869997,0.5959933222036727,9.837268343177507e-05,9.66939810105537e-05,0.667779632721202,8.918185105922383e-05,0.0001032740571898013,0.7278797996661102
0.0001,10,39,0.02151496112965668,6.871481909054289e-05,7.277954931586866e-05,8.781331137808287e-05,0.00030895006996927815,0.6060100166944908,9.179878018453333e-05,0.00012222035709238366,0.6260434056761269,9.547945612402849e-05,0.0001274437816784179,0.679465776293823
0.0001,10,38,0.016917098481184164,2.1123983950432912e-05,2.2336171169764348e-05,5.90319439116132e-05,0.0002348333619238372,0.6477462437395659,5.40547709248404e-05,6.173651050976705e-05,0.6260434056761269,5.627373143226703e-05,7.077964632283964e-05,0.7078464106844741
0.0001,50,9,0.025382020738505,0.00012828554124111324,0.00013538475377481348,0.00014948742639471268,0.0002807947871820486,0.5191986644407346,0.00011822158534321484,0.00014001923122647315,0.6961602671118531,0.00011553279905353795,0.00012735998984142805,0.6811352253756261
0.0001,50,11,0.022556134728686596,3.9437184794544056e-05,4.1638673160893296e-05,0.00010299936357820425,0.00018864536490996155,0.5425709515859767,9.49391643273045e-05,0.00011576129514907408,0.67779632721202,9.454716324800347e-05,0.00012005525987785153,0.7095158597662772
0.0001,50,7,0.019273613839421003,5.889430740230184e-05,6.224857889159553e-05,8.220090811680412e-05,0.00019927847169082995,0.5642737896494157,8.190467990881887e-05,9.96610037901506e-05,0.671118530884808,6.989467955545874e-05,8.260103343143987e-05,0.7178631051752922
0.0001,50,23,0.024902144789859082,0.00023828433699779605,0.00025151186241807613,0.00012488771589947952,0.0001654525457500405,0.6076794657762938,0.00012183775113277865,0.0001519968181814554,0.664440734557596,0.00010749513076552653,0.00012257409231819695,0.7228714524207012
0.0001,50,13,0.0303012259797494,0.0003920628421538175,0.0004142026693332272,0.00016518452567121546,0.0002458553424411226,0.5592654424040067,0.0001749894622846478,0.0002132656540260779,0.657762938230384,0.0001718724490666432,0.00017348178300492936,0.6878130217028381
0.0001,50,17,0.03039916303801352,8.857432970987844e-05,9.340470004215151e-05,0.0001917463863971915,0.00037416461045306426,0.5826377295492488,0.00017612203722337729,0.00020496648145195982,0.6878130217028381,0.0001591921360543742,0.00017325196902629809,0.6811352253756261
0.0001,50,2,0.023525646620551253,5.028038235938004e-05,5.3062095516038575e-05,0.00011311507883648852,0.00018521727182702985,0.5859766277128547,0.00011279028751867683,0.0001415006174678027,0.6477462437395659,0.00010728877144670405,0.00019186789079274629,0.7078464106844741
0.0001,50,10,0.02631172667650969,0.00013080343340121647,0.00013835226233670778,0.00013012664760740926,0.00021237379872256917,0.5976627712854758,0.00013661402115575482,0.00018435989012046506,0.7011686143572621,0.0001228018771226682,0.00016989193758590895,0.671118530884808
0.0001,50,21,0.021218941933347422,4.4310878952569244e-05,4.672391330334571e-05,7.098776097435519e-05,0.00014873407069905843,0.5308848080133556,9.243130991872292e-05,0.0001219106690617282,0.6811352253756261,7.837443594056076e-05,0.00010081913485162968,0.7011686143572621
